vendor name|event description|summary
Brookfield Asset Management|Brookfield Asset Management invested $558 million in The Leela Palaces Hotels Resorts business. Despite the challenges faced by the hotel industry, Brookfield's investment helped stabilize the financial structure of Leela and enable liquidity for growth. The investment has resulted in the expansion of Leela's business, with the addition of a new Leela palace in Jaipur and plans for further expansion in Mumbai and other districts. Since Brookfield's acquisition, the Leela business has grown from 8 properties to 12 hotels, with one more on the way. The business now spans 3400 rooms and has implemented a capital-backed growth program. Brookfield has committed more than Rs 1500 crore, making it the largest foreign investment in the Indian hospitality sector. Leela has also gained global recognition, ranking as the best hotel in the world by Travel and Leisure magazine. Leela has achieved remarkable performance in the last three decades, with strong profit margins. The alignment of incentives between the business owner and management has contributed to this success. Leela's top-line performance is expected to reach significant revenue this year, surpassing double-digit growth rates. The focus on quality management, strategic sourcing, and cost management has led to improved margins and impressive EBIDTA margins.| Brookfield Asset Management invested $558 million in The Leela Palaces Hotels Resorts business . Since Brookfield's acquisition, the Leela business has grown from 8 properties to 12 hotels . Leela has also gained global recognition, ranking as the best hotel in the world by Travel and Leisure magazine .
Burger King|Burger King customers in the US are taking the company to court over the difference between the advertised size of the Whopper burger and the actual size served. The customers feel that they have been ripped off and that the burgers do not look like the ones shown in the advertising images. McDonald's is facing a lawsuit over allegations that its burger ads mislead customers about the size of the burgers. Disgruntled customers claim that the actual burgers they receive are smaller than what is shown in the advertisements. In a historic decision, the G20 has included the African Union in its discussions and decision-making process. This move aims to give African countries a voice in global economic matters and promote inclusive growth and development.| Burger King customers in the US are taking the company to court over the difference between the advertised size of the Whopper burger and the actual size served . The customers feel that they have been ripped off and that the burgers do not look like the ones shown in the advertising images .
C16 Biosciences|C16 Biosciences, a US tech firm, has commercially released an alternative to palm oil that is created from yeast cells. The demand for palm oil has led to significant deforestation, and C16 Biosciences aims to reduce the world's reliance on palm oil with their product called Palmless. The yeast is fed on sugars from sugar cane plants, and the process takes less than seven days from start to finish. Palm oil remains the most-produced vegetable oil in the world, accounting for 40% of the total. It is widely used in food and cosmetics due to its smooth texture, natural preservative properties, and ability to maintain its properties under high temperatures. Oil palms produce significantly more oil per hectare compared to other oil crops, making palm oil very productive. Another team led by Professor Chris Chuck at the University of Bath has developed a yeast-sourced alternative to palm oil. The team created a unique strain of yeast called Metschnikowia pulcherrima (MP) that is hardy, can be fed on grass and food waste, and produces high oil yields. The aim is for the oil to be as sustainable as possible, with lower greenhouse gas emissions compared to palm oil.| US firm C16 Biosciences has developed yeast-sourced alternative to palm oil . Palm oil is the most-produced vegetable oil in the world, accounting for 40% of the total . It is widely used in food and cosmetics due to its smooth texture and preservative properties .
Cameo|Since the SAG-AFTRA strike began, over 2,400 performers have joined or reactivated their Cameo accounts, the biggest influx since the onset of the Covid-19 pandemic. Many out-of-work actors are turning to Cameo to earn income from fans who buy personalized celebrity videos, bridging the gap in their livelihoods. Several notable unionized stars, including Alyssa Milano, Cheyenne Jackson, Chris Wood, China McClain, and Melissa Benoist, have recently reactivated their Cameo accounts. These actors are using Cameo to connect with fans and earn extra income during the industry slowdown caused by the strike. Actors who have joined Cameo have earned anywhere from $5 to $25,000 through the platform. For actors like Fred Stoller, Cameo appearances provide additional income during slower seasons and allow them to interact with fans. Cameo has also changed the way fans view celebrities, offering a more accessible and personal connection.| Since the SAG-AFTRA strike began, over 2,400 performers have joined or reactivated their Cameo accounts . Out-of-work actors are turning to Cameo to earn income from fans who buy personalized celebrity videos .
Chevron|Strike action has begun at Chevron's Gorgon and Wheatstone plants in Western Australia, leading to a jump in natural gas prices. The walkouts are due to a dispute over pay and conditions. These two plants account for over 5% of global LNG capacity. The Fair Work Commission in Australia has been hosting mediation talks between Chevron and the Offshore Alliance, a partnership of two unions representing energy workers. However, after numerous meetings and conciliation sessions, the two parties remain apart on key terms. Oil prices have risen this week, with Brent crude trading at around $90 a barrel. This increase is attributed to Saudi Arabia and Russia extending their cuts to oil supplies until the end of the year. Workers at Chevron's liquified natural gas facilities in Australia have begun to walk off the job in a dispute over pay and other issues. The Australian Offshore Alliance, representing 500 workers at the Gorgon and Wheatstone facilities, described Chevron's bargaining performance as the most inept effort of any employer in the past 5 years. The industrial action, including work stoppages, has begun and could potentially impact up to 7% of global LNG supplies. News of the breakdown in talks between Chevron and the workers' union has led to a rise in European natural gas prices. Dutch gas futures, which serve as a benchmark for the region, climbed 9.8% on Friday. Europe has become more dependent on global LNG supplies since deliveries of pipeline gas from Russia slumped, and a prolonged disruption to global supplies could further push up prices. The drawn-out dispute at Chevron's LNG facilities in Australia could have significant implications for global LNG supply and competition. The two Chevron sites account for approximately 6% of global supply, and if strikes were to stop production for a month, around 7% of global supply would be wiped out. This could lead to increased competition for shipments, potentially affecting buyers in Asia and driving up prices.| Strike action has begun at Chevron's Gorgon and Wheatstone plants in Western Australia . The walkouts are due to a dispute over pay and conditions . The two plants account for over 5% of global LNG capacity .
China|China has curbed exports of urea, a key fertilizer, following a price surge. China is the world's largest producer of urea and accounts for about a third of global supplies. As a result, around half a million metric tons of urea are held up at Chinese ports, causing delays in loading and inspections. Two Chinese state-owned urea producers have announced that they will prioritize domestic supply. This move further exacerbates the delay in urea shipments and inspections. The Chinese government has not provided any immediate comment on the situation. Around half a million metric tons of urea bought by Indian Potash Limited (IPL) are currently held at the Chinese port of Tianjin awaiting inspections and clearance. The loading process has been unusually delayed due to inspections. Rashtriya Chemicals and Fertilizers Limited (RCF) of India may also struggle to secure large purchases of over one million tons in a recently issued tender. CNAMPGC Holding Ltd, one of China's top fertilizer exporters, has announced proactive measures to decrease urea exports and ensure domestic supply and price stability. Additionally, China National Offshore Oil Company (CNOOC) has urged its subsidiaries to prioritize urea supply to the domestic market. These actions have caused a decline in China's urea futures and are expected to raise global prices and increase India's spending on fertilizers. India, which imports about 30% of its annual urea requirement, is seeking alternative suppliers due to the curbs on urea exports from China. Supplies from Oman, Saudi Arabia, Egypt, and Russia are expected to fill the gap left by China, which was India's second-largest supplier last year. China has implemented a new set of stimulus measures to boost the property market and support the weakening yuan. The measures include reducing minimum down payments for mortgages, slashing interest rates on new mortgages, and allowing renegotiation of rates on existing mortgages. This move is expected to benefit 40 million home buyers and impact 25 trillion yuan ($3.5 trillion) in mortgages. After the announcement of the new stimulus measures, several major commercial banks in China, including ICBC, China Construction Bank, and Agricultural Bank of China, have cut their deposit rates. This coordinated move is intended to pave the way for banks to lower their mortgage rates based on the regulators' new requirements. Nomura analysts believe that this action will help boost confidence in the housing market. The People's Bank of China (PBOC) has decided to reduce the amount of foreign currency that banks must hold as reserves. This move is aimed at alleviating the pressure on the yuan, which has been falling rapidly in recent months. While the amount may be insignificant, it symbolizes the PBOC's commitment to curb the yuan's weakness. The Caixin manufacturing Purchasing Managers' Index (PMI) for China unexpectedly swung back to expansion in August. The index rose to 51, the highest level since February, indicating a notable improvement in factory activity. This data suggests that the Chinese economy is showing signs of stabilization, although the official government survey still indicates contraction in the manufacturing sector. Data released in August suggests that the downturn in growth in China may be stabilizing. Industrial production rose 4.5% in August compared to a year earlier, and retail sales expanded by 4.6% from a year earlier. Despite the ongoing property crisis, there is optimism that the worst may be over for the Chinese economy. Sino-Ocean, a major state-backed property developer, announced that it would suspend repayments on its offshore borrowings, indicating the ongoing property crisis could continue to impact economic expansion. Property investment fell 8.8% in the first eight months of the year, and property sales by floor area dropped 7.1%. Moody's downgraded its outlook for the real estate sector. The Chinese government has introduced a flurry of measures to reignite growth, including a surprise cut to the reserve requirement ratio (RRR) by 25 basis points for all banks. This move aims to support economic recovery and improve liquidity in the financial system. However, caution is advised as it is still early in the process, and a single month of positive data is not sufficient to confirm a sustained path to recovery.| China is the world's largest producer of urea and accounts for about a third of global supplies . Two Chinese state-owned urea producers have announced they will prioritize domestic supply . Half a million metric tons are held up at Chinese ports, causing delays in loading and inspections .
Cipla|US buyout group Bain Capital has approached Dr Reddys Laboratories to explore a joint bid to buy out the promoters of Cipla, the Hamied family. The two sides have met to discuss and formalize a strategy. If successful, the combined entity would become the leading Indian-origin pharma major at home and in the US and emerging markets. Torrent Pharma, a sole Indian strategic investor, has submitted a non-binding bid for the Hamied family's stake in Cipla, competing against private equity firms Blackstone and Baring Private Equity Asia-EQT. Bain Capital, one of the private equity funds that Torrent has been in discussions with, is also considering a bid. The participation of Dr Reddys Laboratories in the bidding process would enhance the competitive landscape. Cipla and Dr Reddys have complementary strengths in geographical coverage, with Cipla dominant in India, West Asia, and South Africa, while Dr Reddys has historical strengths in the US and Russia. The merger would create a leading Indian pharma major with minimal product and segment overlap. Analysts estimate that the combined entity could generate a profit after tax of C/19,000 crore in the next year.| US buyout group Bain Capital has approached Dr Reddys Laboratories to explore a joint bid to buy out the promoters of Cipla, the Hamied family . The two sides have met to discuss and formalize a strategy . The merger would create a leading Indian pharma major with m
Citigroup|Citigroup CEO Jane Fraser announced a corporate reorganization, which will involve cutting down management layers and accelerating decisions. The firm will be divided into five main business lines that report directly to Fraser, eliminating unnecessary complexity and increasing accountability. The changes will also include job cuts, although the exact number has not been decided yet. Citigroup, the third-biggest U.S. bank by assets, has struggled in the post-2008 financial crisis era due to its smaller domestic retail banking presence compared to its competitors. The persistent stock slump and tensions between managers in the previous corporate structure have hindered new initiatives. The reorganization aims to revitalize the firm and deliver on medium-term targets. Citigroup CEO Jane Fraser consolidated management of non-U.S. businesses under Ernesto Torres Canto. Despite exiting more than a dozen markets, including Mexico, Citigroup's stock has declined about 40% since Fraser took over in March 2021, the worst showing among her big bank rivals. The stock is currently trading at levels seen during the 2008 crisis. Citigroup's staff levels have grown as the firm complies with regulators' demands to improve risk controls. However, amid a slump in Wall Street activity, some rivals have been eliminating jobs. Citigroup CEO Jane Fraser addressed the coming job cuts, acknowledging the contributions of the affected colleagues and stating that the reorganization will be completed by the first quarter of next year.| Citigroup will be divided into five main business lines that report directly to CEO Jane Fraser . The changes will also include job cuts, although the exact number has not been decided yet . Citigroup, the third-biggest U.S. bank by assets, has struggled in post-2008 financial crisis era .
Corite|Electronic music artist Alan Walker has given around 8,000 fans the opportunity to invest in four of his singles, sharing his streaming revenues with them. He used the Swedish website and app called Corite to facilitate this, which handles all the financial details. This move allows Walker to involve his fans beyond just connecting with them through his music and stage performances. Corite, a Swedish website and app, allows up and coming artists to secure financial backing from their fanbase. Artists can announce campaigns for forthcoming releases and detail the amount of money they are seeking to raise. In return, fans can hope to earn more money than the sum they have invested, with rates of return typically between 1.4 and 1.7 times the investment amount. Despite the rise of streaming services and platforms like Corite, record labels still have an important role to play in the music industry. They have access to considerable capital, funding, marketing muscle, and media exposure, which can help artists be successful. While platforms like Corite offer artists a cheaper way of funding their careers, record labels provide support and resources that can be difficult to replicate independently.| Alan Walker has given around 8,000 fans the chance to invest in four of his singles . The move allows him to involve his fans beyond just connecting with them through his music . Artists can announce campaigns for forthcoming releases and detail the amount of money they are seeking to raise . In return, fans can earn more money than the sum they have invested .
Cox Automotive|Cox Automotive reported that wholesale used vehicle prices increased in August for the first time since March. The Manheim Used Vehicle Value Index was 212.2 in August, up 0.2 from July. This marks the lowest increase in the index this year, indicating a potential bottoming out of prices for the year. Traditionally, retail prices for consumers follow changes in wholesale prices. With the recent increase in wholesale used vehicle prices, it is expected that retail prices will also see a similar trend. However, the tight inventories and expected sales levels are likely to prevent any substantial pricing declines. Cox estimates that used vehicle retail sales in August were up 5% compared to July. Year over year, they were up 0.8%. Despite the increase in sales, the average price listed for a used vehicle in July was $27,028, down from the previous month but still elevated from historical levels. Cox expects the used vehicle wholesale market to experience a slow and gradual recovery in prices to pre-pandemic levels by 2028. The global health crisis and supply chain issues caused production of new vehicles to be disrupted, leading to low supply and record-high prices. This, in turn, boosted prices in the used vehicle market.| The Manheim Used Vehicle Value Index was 212.2 in August, up 0.2 from July . This marks the lowest increase in the index this year, indicating a potential bottoming out of prices for the year . Cox Automotive estimates that used vehicle retail sales in August were up 5% compared to July .
Daiwa|Japanese financial services firm Daiwa has announced its intentions to expand its presence in India through an investment in Ambit. The partnership will focus on institutional equities business, equity capital market deals, and distribution of asset management products. Daiwa sees India as a partner of choice in the current global economic and political order, with plenty of opportunities in the Indian economy. Seiji Nakata, President and CEO of Daiwa Securities Group Inc, believes that India is emerging as a preferred destination for Japanese companies. With global supply chain disruptions and the China+1 strategy, Japanese companies are increasingly looking at India as a potential partner. The Indian government's initiatives, such as the production linked incentive (PLI), offer interesting opportunities in the manufacturing sector for Japanese companies. Despite the chequered track record of Japanese joint ventures in India, the sentiment towards India is changing in Japanese corporate boardrooms. With confirmed growth and a growing middle class, Japanese companies and investors are considering India as a must-invest destination. The investment in Ambit is part of Daiwa's plan to strengthen its balance sheet and fund the growth plans of its businesses.| Daiwa sees India as a partner of choice in the current global economic and political order . Seiji Nakata, President and CEO of Daiwa Securities Group Inc, believes that India is emerging as a preferred destination for Japanese companies .
Danco Laboratories|Danco Laboratories, a drug company that distributes the abortion pill mifepristone, has asked the Supreme Court to review a case challenging the legality of the medication. This comes after a ruling by the U.S. Court of Appeals for the Fifth Circuit that would impose major restrictions on the use and distribution of the pill. Danco argues that the case is of great importance to women's health and the pharmaceutical industry. The Supreme Court's new term is set to begin next month. This is significant because Danco Laboratories has requested the Supreme Court to take up the case regarding the abortion pill mifepristone. If the Supreme Court agrees to hear the case and upholds the appeals court decision, it would result in more barriers for patients seeking access to the medication. The appeals court ruling on the abortion pill case is currently on hold until the Supreme Court makes a decision. The high court pressed pause on lower court decisions in April, following a request from the Biden administration. If the Supreme Court declines to take the case, the appeals court restrictions on mifepristone will go into effect.| Danco Laboratories, a drug company that distributes the abortion pill mifepristone, has asked the Supreme Court to review a case challenging the legality of the medication . This comes after a ruling by the U.S. Court of Appeals for the Fifth Circuit that would impose major restrictions on the use and distribution of the pill . Danco argues that the case is of great importance to women's health
Darpa|The US Defense Advanced Research Projects Agency (Darpa) is working on a marine propulsion system called a magnetohydrodynamic (MHD) drive, similar to the 'caterpillar drive' described in the movie 'The Hunt for Red October'. The MHD drive has no moving parts and works by generating a magnetic field at a right angle to an electric current, propelling the craft along silently. Engineers have been working on MHD drives for decades, and recent advancements in magnet technology may help solve some of the challenges associated with the drive. While advancements in magnet technology have made the development of a more powerful MHD drive possible, there are still challenges that need to be addressed. One challenge is protecting the electrodes from corrosion when placed in seawater and exposed to an electrical current. Coatings developed by the fuel cell and battery industries may help solve this problem. Another challenge is the resistance and reduced efficiency caused by gas bubbles created on the electrodes when a current is passed across seawater. Potential solutions include gas-diffusing electrodes and techniques to sweep away the bubbles. If the challenges associated with MHD drives can be overcome, the advantages would be significant. MHD drives would require less maintenance than existing propulsion systems due to their lack of moving parts. Additionally, they would be much quieter, which is advantageous for national defense and wildlife preservation. While commercial use of MHD drives may not be feasible in the next five years, it is a possibility for the future.| Darpa is working on a magnetohydrodynamic (MHD) drive, similar to the 'caterpillar drive' described in the movie 'The Hunt for Red October' The drive has no moving parts and works by generating a magnetic field at a right angle to an electric current .
Delta|Delta Airlines has joined other carriers in reducing its profit estimates due to rising costs. The airline now expects adjusted per-share earnings of $1.85 to $2.05, down from the previous forecast of $2.20 to $2.50. Delta attributes the lower earnings to higher fuel and maintenance costs. Delta Airlines predicts a 2-3% decline in unit revenue for the third quarter compared to the previous year, which is an improvement from the earlier estimate of a potential 4% drop. This forecast reflects the industry's increased expenses and lower travel demand. Delta also maintains its full-year adjusted earnings estimate of $6 to $7 per share. American Airlines, Spirit Airlines, and Frontier Airlines have issued warnings that higher costs will impact their profits in the summer quarter. This follows similar guidance from Southwest Airlines and Alaska Airlines. The industry as a whole is facing increased expenses during a period of lower travel demand.| Delta Airlines now expects adjusted per-share earnings of $1.85 to $2.05 per share . The airline attributes the lower earnings to higher fuel and maintenance costs . The industry as a whole is facing increased expenses during a period of lower travel demand .
Delta Air Lines|Delta Air Lines is changing how customers can earn elite frequent flyer status. Starting Jan. 1, customers will earn Delta Medallion status solely based on their spending instead of a combination of dollars spent with the carrier and flights. This new model is similar to the one adopted by American Airlines. Delta is limiting access to its popular Sky Club airport lounges through certain American Express credit cards. Starting Feb. 1, 2025, American Express Platinum and Platinum Business cardholders will only get six visits a year unless they spend $75,000 on the card in a calendar year. Delta SkyMiles Reserve and Reserve Business cardholders will get 10 Sky Club visits a year, which can be increased by spending $75,000 in a year. Delta has made several changes to crack down on overcrowding at its airport lounges. Last year, the airline barred employees from using the lounges when flying standby with company travel privileges, even if they had qualifying credit cards. Delta is also raising prices for club memberships for regular customers. Delta and its competitors, such as United Airlines, are racing to build bigger and more modern lounges to accommodate customers. United Airlines recently opened a 35,000 square-foot club at its hub at Denver International Airport, the largest in its network. Tom Brady, the seven-time Super Bowl champion, has joined Delta Air Lines as a strategic advisor. In this role, Brady will work on internal employee training and participate in external advertising campaigns. He will partner with Delta to develop teamwork tools for the airline's employees and appear in select marketing campaigns. Delta Air Lines intends to leverage Tom Brady's association internally beyond being a celebrity spokesperson. The airline plans to use Brady in employee training exercises to discuss teamwork and managing adversity. Delta aims to benefit from Brady's credibility and appeal to younger consumers. The collaboration between Tom Brady and Delta Air Lines is part of a trend of celebrity employment deals in business ventures. However, such partnerships have had a mixed track record in the past. Examples include BlackBerry's hiring of Alicia Keys, Intel's hiring of will.i.am, Polaroid's hiring of Lady Gaga, and Adidas' partnership with Beyonc Knowles. Tom Brady has been increasingly involved in various business ventures. He has founded a health and wellness company called TB12 Sports, owns a media company, and has his own clothing line called the Brady Brand. Additionally, Brady is a minority owner of the British soccer team Birmingham City, a Major League Pickleball team, and a team in the E1 Series, the first electric boat racing championship. Tom Brady is expected to take on a role as a sports broadcaster after signing a deal with Fox Sports in 2022. The deal is reportedly worth $375 million over 10 years. This move further expands Brady's career beyond football and into the media industry.| Delta is limiting access to its Sky Club airport lounges through certain American Express credit cards . Starting Jan. 1, customers will earn Delta Medallion status solely based on spending instead of dollars spent with the carrier and flights . Delta has made several changes to crack down on overcrowding at its airport lounge .
Dermalogica|Jane Wurwand, along with her husband, co-founded the skincare brand Dermalogica. She credits her mother for encouraging her to develop her skillset, and her mother's five words of wisdom have stuck with her for life. Identical twins have found that meetings are efficient for them in their business endeavors. This highlights the unique dynamics and communication advantages that twins can have when working together. Chess has received a risqu makeover, showcasing a new and unconventional approach to the traditional game. This demonstrates the potential for innovation and creativity in revamping classic products or activities.| Identical twins have found that meetings are efficient for them in their business endeavors . Chess has received a risqu makeover, showcasing a new and unconventional approach to the traditional game . This demonstrates the potential for innovation and creativity
Disney|On February 25, 2020, Bob Iger announced his retirement as Disney's CEO. His hand-picked successor, Bob Chapek, took over the day-to-day operations of the company immediately. However, Iger remained as executive chairman for 22 months, retaining control of creative endeavors and movie and TV content. On November 20, 2022, Bob Iger came out of retirement to become Disney's CEO once again. The board had fired Bob Chapek, and Iger subsequently fired Chapek's closest advisors. Iger extended his contract through 2026, marking the fifth time he has delayed his departure as CEO. The relationship between Bob Iger and Bob Chapek became dysfunctional, leading to corporate dysfunction and succession gone wrong at Disney. Iger had chosen Chapek as his successor based on his integrity and business acumen, but their relationship followed a similar pattern to the meltdown between Eisner and Ovitz in the 1990s. Disney has amended its federal lawsuit against Florida Gov. Ron DeSantis to focus solely on its First Amendment claim that the governor politically retaliated against the company. The amendment shrinks the company's federal civil complaint to 48 pages from 84 in the prior version. Disney's legal battle with Gov. Ron DeSantis began last year when the company publicly denounced the controversial classroom bill that limits classroom discussion of sexual orientation and gender identity. DeSantis and his allies targeted the special tax district that allowed Disney to self-govern its Orlando-area theme parks, leading to Disney filing a federal lawsuit. In response to the nullification of development contracts by the DeSantis board, Disney filed counterclaims in state court, including a breach of contract claim and is seeking damages against the board. The board has asked the court to dismiss Disney's counterclaims. Disney has pulled its programming from Charter Spectrum, one of the largest cable providers in the US. This move comes as Disney-owned ESPN networks were covering major live sporting events. Charter Communications claims that Disney has insisted on a traditional long-term deal with higher rates and limited packaging flexibility, which would result in a significant cost increase for subscribers. A dispute has arisen between Disney and Charter Spectrum over carriage fees. Charter Spectrum argues that the proposal from Disney would lead to higher costs for subscribers and force them to pay for channels they may not want. Disney, on the other hand, states that it has successful deals with pay TV providers across the country and is committed to reaching a resolution with Charter. The dispute between Disney and Charter Spectrum has left sports fans without access to ESPN coverage of major sporting events. This includes the football game between the University of Florida and the University of Utah, as well as the US Open tennis matches. Fans and viewers are disappointed and hopeful for a quick resolution to the dispute.| On February 25, 2020, Bob Iger announced his retirement as Disney's CEO . His hand-picked successor, Bob Chapek, took over the day-to-day operations of the company immediately . Iger remained as executive chairman for 22 months, retaining control of creative endeavors and movie and TV content . On November 20, 2022, Iger came out of retirement to become
EasyJet|Johan Lundgren, CEO of EasyJet, shares his business advice in an interview. He emphasizes the importance of making difficult decisions in the morning and taking action as a female CEO. Lundgren also believes that the traditional job interview is dead and suggests making decisions as if you were on your deathbed. Mohamed Al Fayed, the former boss of Harrods, has died at the age of 94. Al Fayed was a prominent figure in the business world and owned Harrods for many years. His passing marks the end of an era in the luxury retail industry. A spectacular meteor was seen streaking across the night sky in Turkey. The event captured the attention of many people and created a buzz on social media. This rare occurrence serves as a reminder of the wonders of the universe.| Mohamed Al Fayed, the former boss of Harrods, has died at the age of 94 . A spectacular meteor was seen streaking across the night sky in Turkey . The event captured the attention of many people and created a buzz on social media .
Ecoclipper|Jorne Langelaan, the owner of Ecoclipper, has restored a traditional Dutch sail barge built in 1912 and set sail on its first commercial voyage. With increasing concerns about climate change, proponents of wind-powered ships argue that sometimes old technology is the best new technology. Ecoclipper aims to build a fleet of up to 25 wind-powered cargo ships in the future. According to Gavin Allwright, secretary of the International Windship Association, wind-powered cargo shipping is making a comeback since 2012. The cost of fuel and the introduction of carbon taxes are driving the resurgence. Some historic sail cargo systems still exist, such as the Dhows of the Indian Ocean and small vessels in the South Pacific. Raybel, a 1920s Thames barge, is currently being restored in Sittingbourne, Kent. Once the restoration is complete, it will transport items like olives, coffee, and wine along the Kent coast and into London. The project aims to utilize traditional UK waterways and connect estuaries to oceans and canals.| Ecoclipper has restored a traditional Dutch sail barge built in 1912 and set sail on its first commercial voyage . The cost of fuel and introduction of carbon taxes are driving the resurgence of wind-powered cargo shipping . The project aims to utilize traditional UK waterways and connect estuaries to oceans .
Ericsson|India emerged as the leader in net mobile subscription additions in the April-June quarter, surpassing countries like China and the United States. According to the Ericsson Mobility Report, global mobile subscriptions increased by 40 million during this period, with India contributing significantly to this growth. The total number of global mobile subscriptions reached 8.3 billion, as reported in the Ericsson Mobility Report. This indicates a continuous growth in the mobile industry, with an increase of 40 million subscriptions in the April-June quarter alone. The Ericsson Mobility Report highlights a significant growth in global 5G subscriptions, with an addition of 175 million subscriptions in the April-June quarter. This indicates a rapid adoption of 5G technology worldwide, paving the way for enhanced connectivity and advanced mobile services.| India emerged as the leader in net mobile subscription additions in the April-June quarter, surpassing countries like China and the United States . The total number of global mobile subscriptions reached 8.3 billion, as reported in the Ericsson Mobility Report .
Etsy|Beyonc requested concert goers attending her Renaissance Tour to wear silver in honor of her birthday, leading to an increase in searches for silver clothing and accessories on Etsy. Small business owners, particularly those offering glittery products like disco jewelry and sparkly sunglasses, benefited from the surge in demand. Beyonc's influence on sales was evident as Etsy sellers received panicked messages and offers for expedited shipping. Beyonc's Renaissance Tour, along with Taylor Swift's Eras Tour, contributed to a boost in the economy through post-pandemic revenge spending on experiences. Artisans offering glittery products saw increased sales, with Etsy sellers witnessing an uptick in demand for silver holographic fans. The popularity of these concerts and the associated merchandise helped support small businesses. Beyonc's collaboration with individuals from the ballroom culture, a Black and Latinx LGBTQ+ subculture rooted in drag queens organizing pageant competitions, influenced the fashion choices of concertgoers. The handheld fans and other merchandise drew inspiration from this culture, amplifying its visibility and allowing new audiences to access and appreciate it. The popularity of the fans was also driven by practical reasons, such as providing relief from extreme heat during outdoor concerts. Small businesses on Etsy, such as sellers of disco jewelry, bedazzled sunglasses, and silver accessories, experienced increased sales due to the demand generated by Beyonc's Renaissance Tour. Etsy sellers received positive reviews from concert attendees who used their products during the tour. The influence of Beyonc and Taylor Swift on sales was evident, with sellers adapting their products to match the artists' announcements and reaching their target audience.| Beyonc requested concert goers attending her Renaissance Tour to wear silver in honor of her birthday . Beyonc's influence on sales was evident as Etsy sellers received panicked messages and offers for expedited shipping . Artisans offering glittery products saw increased sales, with Etsy sellers witnessing an uptick in demand for silver holographic fans .
Evroc|There is a concern in Europe about digital sovereignty, which refers to the region's ability to control its own data and technology. Europe heavily relies on US firms for cloud services, which has raised concerns about conflicts between EU data protection laws and US laws that grant broad access to data by intelligence and law-enforcement services. To address this, European companies like Evroc and Ionos are working towards creating European alternatives to US tech giants in the cloud computing industry. Evroc, a Stockholm-based company, aims to create Europes first sovereign hyperscale cloud, fully under the jurisdiction of European law. The company has secured C/!15m in seed funding and plans to build eight data centers in Europe over the next five years. By offering an alternative to major US cloud providers like Amazon Web Services, Microsoft, and Google, Evroc aims to promote technological independence and strengthen Europe's digital sovereignty. European cloud providers, including Ionos, Microsoft, Google, and Amazon, are participating in the Gaia-X project, which aims to create a federated system for cloud services. The goal is to enable data to move between different cloud service providers while ensuring data owners remain in control. By collaborating and sharing an ecosystem, European cloud providers believe they can compete with major US tech giants and strengthen Europe's position in the cloud computing market.| There is a concern in Europe about digital sovereignty, which refers to the region's ability to control its own data and technology . Europe heavily relies on US firms for cloud services, which has raised concerns about conflicts between EU data protection laws and US laws . Evroc aims to create Europes first sovereign hyperscale cloud, fully under the jurisdiction of European law .
Fanbytes|Timothy Armoo, the founder of social media advertising business Fanbytes, has sold the company to a larger advertising firm called Brainlabs for an eight-figure sum. The exact amount has not been disclosed as both companies are privately held. Fanbytes connects social media influencers with big brands for promotion work and has worked with popular influencers on platforms like TikTok and Instagram. Black entrepreneurs, like Timothy Armoo, face significant challenges in accessing funding for their start-ups. A recent report by Extend Ventures revealed that less than one percent of venture capital investment in the UK went to black entrepreneurs between 2009 and 2019. Additionally, black-owned businesses are four times more likely to have their loan applications rejected compared to white or South Asian business founders. Timothy Armoo's success as an entrepreneur is notable considering his upbringing on a council estate in south London and limited financial resources. He attributes some of his success to a fortunate opportunity when he won a scholarship to an independent school, which exposed him to a different world and gave him confidence. Armoo used his experiences and skills to build Fanbytes and connect with investors.| Fanbytes connects social media influencers with big brands for promotion work . Less than one percent of venture capital investment in the UK went to black entrepreneurs between 2009 and 2019 . Black entrepreneurs are four times more likely to have their loan applications rejected compared to white or South Asian business founders .
Fidelity Investments|According to Fidelity Investments, 401(k) balances rose on average for all age groups in the second quarter compared to the same period a year earlier. The average 401(k) balance increased to $112,400, up 4% from the first quarter. This marks the third consecutive quarter of growth in average balances. Fidelity's analysis revealed that the average 401(k) account balance for Baby Boomers rose by 6.3% over the past year. Those who have been saving continuously since 2008 now have an average balance of $499,000, well above the second quarter average of $220,900 for everyone in that age group. Younger workers, including Gen Xers, Millennials, and Gen Z workers, saw significant growth in their 401(k) balances over the past year. Gen Xers' balances increased by 14.5% to $153,300, Millennials' balances increased by 24.5% to $48,300, and Gen Z workers' balances increased by 66% to $8,100. Fidelity found that total contribution rates to 401(k) accounts, including employee savings and employer matches, averaged 13.9% of one's gross income in the second quarter. This rate has remained relatively stable for several quarters but is still below Fidelity's suggested savings rate of 15%. Baby Boomers had the highest average contribution rate of 16.6%. Fidelity noted that the percentage of participants with an outstanding 401(k) loan rose slightly to 17.1% in the second quarter, up from 16.6% in the first quarter. However, the first quarter's percentage was an all-time low, well below the pre-pandemic levels of outstanding loans.| 401(k) balances rose on average for all age groups in the second quarter compared to the same period a year earlier . This marks the third consecutive quarter of growth in average balances . Gen Xers' balances increased by 14.5% to $153,300 . Gen Z workers' balances rose by 66% over the past year to $8,100 .
